Date,Open,High,Low,Close,Volume,Adj Close
2014-05-06,14.20,14.69,13.14,13.29,319200,13.29
2014-05-05,14.83,14.83,14.20,14.30,184500,14.30
2014-05-02,15.00,15.39,14.46,14.76,175900,14.76
2014-05-01,14.40,15.32,14.40,14.73,210800,14.73
2014-04-30,14.85,15.14,14.04,14.37,486300,14.37
2014-04-29,16.53,16.73,14.84,14.85,526300,14.85
2014-04-28,19.29,19.29,16.00,16.30,634400,16.30
2014-04-25,21.46,22.00,19.28,19.49,338300,19.49
2014-04-24,22.61,22.68,21.51,21.75,127100,21.75
2014-04-23,22.52,23.20,21.23,22.24,71900,22.24
2014-04-22,20.21,22.30,20.20,22.24,172900,22.24
2014-04-21,20.25,20.55,19.84,20.21,43600,20.21
2014-04-17,20.50,20.74,19.74,20.05,135800,20.05
2014-04-16,21.53,22.98,20.39,20.69,176300,20.69
2014-04-15,20.31,21.44,18.76,21.00,220600,21.00
2014-04-14,19.99,20.36,19.74,20.13,121200,20.13
2014-04-11,19.82,20.07,19.00,19.69,225700,19.69
2014-04-10,19.81,20.20,19.27,20.11,154200,20.11
2014-04-09,19.72,20.25,19.25,20.03,133700,20.03
2014-04-08,19.50,20.25,19.41,19.85,172600,19.85
2014-04-07,19.59,19.82,18.75,19.41,273100,19.41
2014-04-04,19.70,20.19,18.70,19.00,477100,19.00
2014-04-03,20.42,21.37,19.53,19.85,1154200,19.85
2014-04-02,17.50,21.20,17.12,20.09,8471200,20.09
